District_Name,SCHOOL,Gender,2011 Total,%0-5 Points,%6-10 Points,%11-15 Points,%16-20 Points,%21-25 Points,2012 Total,%0-5 Points,%6-10 Points,%11-15 Points,%16-20 Points,%21-25 Points,2013 Total,%0-5 Points,%6-10 Points,%11-15 Points,%16-20 Points,2014 Total,%0-5 Points,%6-10 Points,%11-15 Points,%16-20 Points,2015 Total,%0-5 Points,%6-10 Points,%11-15 Points,%16-20 Points
KAMPALA,"CRANE HIGH SCHOOL,KAMPALA",FEMALE,53,24.5,35.8,22.6,17,0,30,20,70,10,0,0,84,69,26.2,4.8,0,22,77.3,9.1,13.6,0,40,38.4,45,10,2.5
KAMPALA,,MALE,47,38.3,34,23.4,2.1,2.1,40,27.5,47.5,15,10,0,74,51.4,29.7,16.2,2.7,33,48.5,36.4,15.2,0,54,49.4,37,9.3,0
KAMPALA,"CRANE HIGH SCHOOL,KITINTALE",FEMALE,96,20.8,38.5,35.4,5.2,0,89,3.4,50.6,33.7,11.2,1.1,248,33.9,46.8,19.4,0,84,26.2,51.2,21.4,1.2,49,18.4,53.1,28.6,0
KAMPALA,,MALE,123,21.1,42.3,26,8.9,1.6,109,4.6,38.5,40.4,11.9,4.6,252,44.4,34.9,18.3,2.4,114,32.5,39.5,25.4,2.6,70,21.4,45.7,28.6,4.3
KAMPALA,"CRESCENT HIGH SCHOOL,MPIGI",FEMALE,23,30.4,56.5,8.7,4.3,0,21,23.8,57.1,19,0,0,40,75,25,0,0,7,42.9,57.1,0,0,5,40,40,20,0
KAMPALA,,MALE,34,29.4,52.9,17.6,0,0,36,25,50,19.4,5.6,0,20,70,30,0,0,5,80,20,0,0,5,41,20,20,0
KAMPALA,"CRESTED SECONDARY SCHOOL,KAMPALA",FEMALE,81,6.2,18.5,44.4,28.4,2.5,90,0,16.7,48.9,30,4.4,152,6.6,42.1,44.7,6.6,55,5.5,21.8,58.2,14.5,61,6.6,55.7,34.4,3.3
KAMPALA,,MALE,96,5.2,24,34.4,26,10.4,81,2.5,12.3,34.6,42,8.6,192,5.2,28.1,57.3,9.4,73,1.4,26,50.7,21.9,108,6.5,55.6,33.3,4.6
KAMPALA,"EAGLE'S NEST SECONDARY SCHOOL,KAMPALA",FEMALE,31,29,35.5,29,6.5,0,46,54.3,32.6,8.7,4.3,0,90,64.4,26.7,8.9,0,28,57.1,25,10.7,7.1,6,50,50,0,0
KAMPALA,,MALE,38,44.7,36.8,18.4,0,0,29,62.1,31,3.4,3.4,0,92,58.7,34.8,6.5,0,14,57.1,14.3,21.4,7.1,13,38.5,53.8,7.7,0
KAMPALA,"EAST HIGH SCHOOL,NTINDA",FEMALE,201,5,37.8,41.8,14.9,0.5,172,9.3,46.5,29.1,14.5,0.6,166,13.3,43.4,41,2.4,104,10.6,39.4,41.3,8.7,81,10,35.8,46.9,6.2
KAMPALA,,MALE,240,7.5,30,40.4,19.6,2.5,190,7.4,43.2,33.2,13.7,2.6,240,18.3,41.7,36.7,3.3,128,12.5,39.8,38.3,9.4,104,13.7,55.8,28.8,0
KAMPALA,"EBENEZER SECONDARY SCHOOL,KYADONDO",FEMALE,,0,0,0,0,0,,0,0,0,0,0,38,36.8,47.4,15.8,0,34,11.8,58.8,26.5,2.9,50,20,48,32,0
KAMPALA,,MALE,,0,0,0,0,0,,0,0,0,0,0,42,23.8,52.4,19,4.8,42,19,42.9,35.7,2.4,38,6.1,63.2,23.7,5.3
KAMPALA,"EMMA HIGH SCHOOL,KIKAAYA",FEMALE,23,13,56.5,26.1,4.3,0,36,13.9,44.4,36.1,5.6,0,66,30.3,39.4,24.2,6.1,40,5,35,42.5,17.5,30,17.2,56.7,20,3.3
KAMPALA,,MALE,24,16.7,41.7,25,16.7,0,34,20.6,26.5,47.1,2.9,2.9,106,20.8,45.3,26.4,7.5,37,16.2,35.1,40.5,8.1,37,30.1,48.6,18.9,0
KAMPALA,"EMMANUEL COLLEGE,KAZO-KAMPALA",FEMALE,38,26.3,42.1,23.7,7.9,0,38,13.2,52.6,31.6,2.6,0,72,50,33.3,16.7,0,30,16.7,56.7,26.7,0,29,34.5,48.3,13.8,3.4
KAMPALA,,MALE,32,18.8,59.4,18.8,3.1,0,42,23.8,42.9,23.8,9.5,0,70,40,51.4,8.6,0,30,16.7,56.7,23.3,3.3,18,27.8,50,22.2,0
KAMPALA,"EVERLIGHT COLLEGE,KALUNGU BBUNGA",FEMALE,12,25,41.7,33.3,0,0,14,14.3,71.4,14.3,0,0,26,38.5,46.2,15.4,0,8,62.5,25,12.5,0,5,60,40,0,0
KAMPALA,,MALE,7,28.6,42.9,28.6,0,0,6,16.7,33.3,50,0,0,4,0,100,0,0,12,41.7,50,8.3,0,5,40,60,0,0
KAMPALA,"EXCEL SECONDARY SCHOOL,KASUBI",FEMALE,30,20,53.3,23.3,3.3,0,9,22.2,22.2,33.3,11.1,11.1,46,13,39.1,39.1,8.7,25,8,56,28,8,10,20,70,10,0
KAMPALA,,MALE,31,12.9,41.9,38.7,6.5,0,23,26.1,47.8,13,13,0,78,25.6,56.4,15.4,2.6,30,3.3,43.3,53.3,0,22,36.9,54.5,4.5,0
KAMPALA,"FAIHA HIGH SCHOOL,KAWEMPE",FEMALE,24,16.7,37.5,25,20.8,0,39,25.6,25.6,33.3,15.4,0,108,16.7,53.7,29.6,0,40,12.5,25,50,12.5,29,17.7,41.4,24.1,13.8
KAMPALA,,MALE,19,31.6,42.1,21.1,5.3,0,36,19.4,38.9,27.8,13.9,0,82,14.6,58.5,22,4.9,45,13.3,46.7,35.6,4.4,29,24.1,48.3,27.6,0
KAMPALA,GABA MIXED HIGH SCHOOL,FEMALE,15,73.3,20,6.7,0,0,21,42.9,47.6,9.5,0,0,24,66.7,33.3,0,0,16,50,37.5,6.3,6.3,21,41.2,33.3,14.3,0
KAMPALA,,MALE,16,56.3,37.5,6.3,0,0,24,29.2,50,16.7,4.2,0,34,47.1,47.1,5.9,0,10,50,20,20,10,29,46.6,31,17.2,0
KAMPALA,GAYAZA ROAD SECONDARY SCHOOL,FEMALE,46,10.9,21.7,26.1,34.8,6.5,32,0,18.8,46.9,31.3,3.1,80,0,17.5,60,22.5,42,2.4,33.3,42.9,21.4,35,5.7,42.9,42.9,8.6
KAMPALA,,MALE,20,5,15,40,40,0,19,5.3,10.5,57.9,21.1,5.3,54,11.1,22.2,40.7,25.9,36,2.8,27.8,52.8,16.7,37,10.8,45.9,43.2,0
KAMPALA,GGABA PARENTS HIGH SCHOOL,FEMALE,,0,0,0,0,0,10,70,20,10,0,0,8,0,100,0,0,7,28.6,42.9,14.3,14.3,,0,0,0,0
KAMPALA,,MALE,,0,0,0,0,0,15,53.3,46.7,0,0,0,16,87.5,12.5,0,0,19,47.4,52.6,0,0,,0,0,0,0
KAMPALA,"GLOBAL SKILLS SECONDARY SCHOOL,KAMPALA",FEMALE,,0,0,0,0,0,19,68.4,15.8,10.5,5.3,0,22,72.7,27.3,0,0,10,60,10,20,10,11,54.5,45.5,0,0
KAMPALA,,MALE,,0,0,0,0,0,24,45.8,37.5,12.5,4.2,0,24,58.3,33.3,8.3,0,12,33.3,66.7,0,0,9,57,33.3,0,0
KAMPALA,"GOLDEN SCHOOL,KAMPALA",FEMALE,20,25,55,10,10,0,14,35.7,42.9,14.3,7.1,0,20,50,30,20,0,21,28.6,52.4,14.3,4.8,16,19.8,50,25,0
KAMPALA,,MALE,20,10,30,55,5,0,11,27.3,45.5,18.2,9.1,0,34,58.8,29.4,11.8,0,11,36.4,54.5,9.1,0,16,25,56.3,18.8,0
KAMPALA,"GREENHILL ACADEMY,KAMPALA",FEMALE,68,0,32.4,35.3,30.9,1.5,48,2.1,20.8,41.7,35.4,0,104,7.7,42.3,48.1,1.9,63,14.3,49.2,33.3,3.2,54,16.7,55.6,24.1,3.7
KAMPALA,,MALE,53,7.5,35.8,35.8,18.9,1.9,56,3.6,23.2,51.8,17.9,3.6,82,7.3,39,46.3,7.3,58,10.3,51.7,34.5,3.4,52,21.2,42.3,36.5,0
KAMPALA,"HAPPY HOURS SECONDARY SCHOOL,BWAISE",FEMALE,41,29.3,48.8,19.5,2.4,0,14,14.3,42.9,28.6,14.3,0,54,55.6,37,7.4,0,27,25.9,59.3,11.1,3.7,26,44.8,34.6,7.7,0
KAMPALA,,MALE,48,35.4,39.6,22.9,2.1,0,16,18.8,50,12.5,18.8,0,68,44.1,38.2,14.7,2.9,33,36.4,45.5,18.2,0,12,8.9,83.3,0,0
KAMPALA,"HERITAGE COLLEGE SCHOOL,KAWEMPE",FEMALE,11,63.6,36.4,0,0,0,13,69.2,30.8,0,0,0,100,66,26,8,0,32,59.4,28.1,9.4,3.1,26,56,23.1,3.8,3.8
KAMPALA,,MALE,9,66.7,33.3,0,0,0,15,66.7,26.7,6.7,0,0,108,77.8,22.2,0,0,28,67.9,28.6,3.6,0,49,55.5,24.5,12.2,0
KAMPALA,"HIGHLAND SECONDARY SCHOOL,KISAASI",FEMALE,17,0,52.9,5.9,35.3,5.9,24,25,37.5,25,12.5,0,48,20.8,50,29.2,0,12,50,41.7,8.3,0,21,30.2,38.1,23.8,0
KAMPALA,,MALE,16,18.8,18.8,56.3,6.3,0,28,32.1,39.3,25,3.6,0,32,25,56.3,18.8,0,21,52.4,38.1,9.5,0,24,37.5,58.3,4.2,0
KAMPALA,"JAKAYZ SECONDARY SCHOOL,KABOWA",FEMALE,,0,0,0,0,0,36,25,33.3,33.3,8.3,0,74,51.4,32.4,16.2,0,29,6.9,41.4,51.7,0,19,15.8,47.4,31.6,5.3
KAMPALA,,MALE,,0,0,0,0,0,59,23.7,35.6,27.1,13.6,0,82,63.4,26.8,9.8,0,37,29.7,40.5,21.6,8.1,21,19.6,57.1,19,0
KAMPALA,KABOWA HIGH SCHOOL,FEMALE,74,5.4,23,35.1,32.4,4.1,83,4.8,19.3,43.4,26.5,6,156,11.5,35.9,41,11.5,70,22.9,40,25.7,11.4,87,31.5,51.7,13.8,1.1
KAMPALA,,MALE,86,5.8,16.3,44.2,27.9,5.8,77,5.2,18.2,23.4,40.3,13,150,18.7,41.3,33.3,6.7,90,12.2,48.9,32.2,6.7,74,18,55.4,18.9,5.4
KAMPALA,KAIROS HIGH SCHOOL,FEMALE,,0,0,0,0,0,15,20,40,20,20,0,42,76.2,19,4.8,0,21,9.5,61.9,28.6,0,15,41.1,40,6.7,6.7
KAMPALA,,MALE,,0,0,0,0,0,13,7.7,30.8,53.8,7.7,0,78,64.1,30.8,5.1,0,20,25,50,25,0,21,38.1,47.6,14.3,0
KAMPALA,"KAKUNGULU MEMORIAL SCHOOL,KAMPALA",3,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,1,0,100,0,0
KAMPALA,,FEMALE,166,4.2,33.1,37.3,23.5,1.8,181,5,32.6,45.9,14.4,2.2,316,8.9,43.7,41.1,6.3,218,11.9,35.8,41.7,10.6,177,18.7,49.7,28.2,2.8
KAMPALA,,MALE,170,2.9,31.2,40,22.9,2.9,213,0.9,34.7,47.4,15,1.9,394,14.2,47.7,28.9,9.1,218,11.9,39.4,36.2,12.4,148,24.8,52.7,15.5,4.1
KAMPALA,KALINABIRI SECONDARY SCHOOL,FEMALE,59,22,42.4,28.8,6.8,0,52,7.7,30.8,44.2,17.3,0,68,5.9,55.9,35.3,2.9,55,7.3,47.3,40,5.5,48,20.8,56.3,20.8,2.1
KAMPALA,,MALE,76,17.1,51.3,23.7,7.9,0,71,8.5,36.6,38,16.9,0,66,18.2,57.6,24.2,0,59,15.3,42.4,33.9,8.5,53,26.7,62.3,9.4,0
KAMPALA,KAMPALA APOSTOLIC SECONDARY SCHOOL,FEMALE,21,19,52.4,28.6,0,0,19,26.3,42.1,31.6,0,0,36,61.1,38.9,0,0,20,55,40,5,0,21,44.6,33.3,14.3,0
KAMPALA,,MALE,19,26.3,26.3,26.3,15.8,5.3,25,16,52,28,4,0,30,60,40,0,0,21,38.1,28.6,33.3,0,17,58.8,35.3,5.9,0
KAMPALA,KAMPALA CITIZENS COLLEGE SCHOOL,FEMALE,56,78.6,16.1,3.6,1.8,0,44,56.8,31.8,11.4,0,0,86,81.4,14,4.7,0,37,70.3,24.3,5.4,0,33,66,18.2,0,0
KAMPALA,,MALE,71,54.9,42.3,2.8,0,0,55,63.6,30.9,5.5,0,0,112,89.3,5.4,5.4,0,54,72.2,22.2,5.6,0,46,47.6,23.9,2.2,0
KAMPALA,KAMPALA HIGH SCHOOL,FEMALE,27,55.6,37,3.7,3.7,0,33,24.2,45.5,24.2,6.1,0,64,43.8,40.6,15.6,0,43,39.5,44.2,11.6,4.7,49,36.5,38.8,18.4,0
KAMPALA,,MALE,49,53.1,38.8,2,6.1,0,31,45.2,38.7,12.9,3.2,0,98,53.1,30.6,12.2,4.1,50,50,40,8,2,52,24.5,51.9,17.3,0
KAMPALA,KAMPALA SECONDARY SCHOOL,FEMALE,105,47.6,41,10.5,1,0,119,54.6,30.3,11.8,3.4,0,148,68.9,28.4,2.7,0,64,56.3,32.8,9.4,1.6,44,56.2,27.3,0,0
KAMPALA,,MALE,217,40.6,35.9,19.8,3.7,0,186,36,47.8,12.9,3.2,0,286,55.9,32.9,11.2,0,149,53.7,31.5,14.1,0.7,102,50.8,28.4,5.9,0
KAMPALA,KAMPALA STUDENTS'CENTRE,FEMALE,25,48,44,8,0,0,28,57.1,42.9,0,0,0,68,82.4,14.7,2.9,0,30,63.3,26.7,10,0,18,74,11.1,0,0
KAMPALA,,MALE,47,83,10.6,6.4,0,0,46,60.9,23.9,13,2.2,0,110,65.5,29.1,5.5,0,73,78.1,21.9,0,0,27,75.4,7.4,3.7,0
KAMPALA,KANSANGA SECONDARY SCHOOL,FEMALE,29,51.7,27.6,10.3,10.3,0,24,20.8,37.5,41.7,0,0,50,36,56,8,0,26,46.2,46.2,7.7,0,33,33.3,48.5,18.2,0
KAMPALA,,MALE,37,32.4,54.1,8.1,2.7,2.7,23,34.8,34.8,21.7,4.3,4.3,58,82.8,17.2,0,0,34,52.9,32.4,14.7,0,19,22.2,52.6,15.8,0
KAMPALA,KASUBI PARENTS SECONDARY SCHOOL,FEMALE,10,60,40,0,0,0,15,60,20,13.3,6.7,0,22,36.4,63.6,0,0,27,40.7,55.6,0,3.7,24,60.4,16.7,16.7,0
KAMPALA,,MALE,24,16.7,33.3,45.8,4.2,0,13,46.2,30.8,7.7,15.4,0,46,47.8,30.4,21.7,0,34,35.3,44.1,17.6,2.9,28,21.4,50,25,3.6
KAMPALA,KASUBI SECONDARY SCHOOL,FEMALE,142,20.4,47.9,23.9,7.7,0,127,26.8,39.4,27.6,5.5,0.8,308,48.7,34.4,15.6,1.3,107,35.5,29.9,31.8,2.8,94,42.4,42.6,6.4,2.1
KAMPALA,,MALE,147,23.1,42.2,24.5,8.8,1.4,153,35.3,37.9,19.6,7.2,0,292,51.4,34.9,9.6,4.1,149,36.2,40.3,19.5,4,125,44.4,37.6,8.8,2.4
KAMPALA,KATUUSO COMMUNITY SECONDARY SCHOOL,FEMALE,,0,0,0,0,0,47,31.9,61.7,4.3,2.1,0,88,59.1,36.4,4.5,0,40,60,35,5,0,20,50,40,10,0
KAMPALA,,MALE,,0,0,0,0,0,18,33.3,38.9,16.7,11.1,0,70,45.7,51.4,2.9,0,53,52.8,39.6,7.5,0,23,44.7,43.5,4.3,0
KAMPALA,KAWAALA COLLEGE SCHOOL,FEMALE,31,29,41.9,6.5,22.6,0,37,29.7,35.1,29.7,5.4,0,,0,0,0,0,17,17.6,47.1,29.4,5.9,5,40,60,0,0
KAMPALA,,MALE,39,28.2,41,20.5,10.3,0,35,28.6,34.3,28.6,8.6,0,,0,0,0,0,14,28.6,28.6,21.4,21.4,7,57.1,14.3,28.6,0
KAMPALA,KAWAALA HIGH SCHOOL,FEMALE,28,39.3,39.3,21.4,0,0,26,26.9,50,19.2,3.8,0,60,73.3,23.3,3.3,0,33,60.6,27.3,12.1,0,19,36.8,52.6,10.5,0
KAMPALA,,MALE,29,41.4,48.3,10.3,0,0,34,29.4,58.8,11.8,0,0,82,73.2,22,4.9,0,40,50,40,7.5,2.5,20,55.5,30,10,0
KAMPALA,KAWEMPE MOSLEM HIGH SCHOOL,FEMALE,15,20,60,13.3,6.7,0,31,22.6,41.9,22.6,9.7,3.2,42,33.3,42.9,23.8,0,25,28,32,28,12,34,25.6,35.3,20.6,11.8
KAMPALA,,MALE,27,18.5,33.3,33.3,14.8,0,14,14.3,28.6,42.9,14.3,0,34,23.5,41.2,29.4,5.9,35,31.4,40,25.7,2.9,29,15.2,51.7,27.6,0
KAMPALA,KAWEMPE MUSLIM SECONDARY SCHOOL,FEMALE,95,0,2.1,15.8,50.5,31.6,97,0,2.1,18.6,57.7,21.6,212,0.9,5.7,57.5,35.8,85,1.2,7.1,47.1,44.7,91,1.1,16.5,69.2,13.2
KAMPALA,,MALE,107,1.9,0,15.9,49.5,32.7,122,0,4.9,22.1,51.6,21.3,232,0.9,6,48.3,44.8,110,0.9,10.9,34.5,53.6,120,1.7,19.2,62.5,16.7
KAMPALA,KAWEMPE STANDARD SCHOOL,FEMALE,26,46.2,42.3,11.5,0,0,21,28.6,42.9,23.8,4.8,0,42,76.2,23.8,0,0,20,40,40,10,10,33,39.2,45.5,6.1,0
KAMPALA,,MALE,38,57.9,31.6,10.5,0,0,20,20,65,15,0,0,52,80.8,15.4,3.8,0,13,38.5,30.8,30.8,0,44,48.6,36.4,0,0
KAMPALA,"KAZO HILL COLLEGE SCHOOL,KAWEMPE",FEMALE,24,54.2,25,16.7,4.2,0,14,35.7,42.9,21.4,0,0,28,100,0,0,0,42,52.4,42.9,4.8,0,21,53.2,33.3,9.5,0
KAMPALA,,MALE,18,44.4,38.9,11.1,5.6,0,24,50,37.5,12.5,0,0,18,66.7,33.3,0,0,43,72.1,25.6,2.3,0,33,55.3,33.3,9.1,0
KAMPALA,KIBULI GIRLS HIGH SCHOOL,FEMALE,17,17.6,58.8,23.5,0,0,35,31.4,48.6,20,0,0,32,68.8,31.3,0,0,,0,0,0,0,,0,0,0,0
KAMPALA,,MALE,4,25,75,0,0,0,15,40,26.7,26.7,6.7,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
KAMPALA,KIBULI MIXED SECONDARY SCHOOL,FEMALE,,0,0,0,0,0,8,37.5,62.5,0,0,0,24,66.7,33.3,0,0,15,53.3,40,6.7,0,14,37.4,35.7,14.3,7.1
KAMPALA,,MALE,,0,0,0,0,0,19,42.1,31.6,21.1,5.3,0,34,58.8,35.3,5.9,0,13,38.5,53.8,7.7,0,14,44.1,42.9,7.1,0
KAMPALA,KIBULI SECONDARY SCHOOL,FEMALE,88,0,2.3,30.7,55.7,11.4,90,0,0,28.9,56.7,14.4,196,1,10.2,55.1,33.7,98,4.1,24.5,46.9,24.5,92,9.8,42.4,37,10.9
KAMPALA,,MALE,165,0,9.1,24.8,55.2,10.9,165,0,4.8,32.1,43,20,364,1.6,20.9,50,27.5,169,3,18.9,47.3,30.8,163,14,42.9,32.5,8
KAMPALA,"KINGSTONE HIGH SCHOOL,KAWEMPE",FEMALE,22,9.1,50,40.9,0,0,25,12,44,36,8,0,38,63.2,36.8,0,0,15,6.7,53.3,40,0,14,0,71.4,28.6,0
KAMPALA,,MALE,22,22.7,18.2,36.4,22.7,0,25,12,36,40,8,4,48,37.5,41.7,20.8,0,17,11.8,29.4,52.9,5.9,32,38.9,46.9,9.4,0
KAMPALA,KISAASI COLLEGE SCHOOL, ,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,1,0,0,100,0
KAMPALA,,FEMALE,67,1.5,28.4,44.8,19.4,6,99,13.1,32.3,41.4,12.1,1,144,20.8,47.2,29.2,2.8,77,27.3,32.5,32.5,7.8,54,31.5,46.3,22.2,0
KAMPALA,,MALE,82,7.3,31.7,40.2,18.3,2.4,110,8.2,44.5,40.9,5.5,0.9,192,26,44.8,27.1,2.1,84,29.8,33.3,28.6,8.3,68,25.2,50,23.5,0
KAMPALA,KITANTE HILL SECONDARY SCHOOL,FEMALE,117,9.4,30.8,42.7,16.2,0.9,98,4.1,26.5,50,18.4,1,248,17.7,58.9,21,2.4,94,13.8,39.4,40.4,6.4,104,28.5,53.8,12.5,1.9
KAMPALA,,MALE,160,7.5,33.1,38.8,18.1,2.5,167,6,41.3,38.3,13.2,1.2,276,34.8,43.5,20.3,1.4,138,26.8,44.2,23.9,5.1,127,32.2,52.8,11,0
KAMPALA,KITEBI SECONDARY SCHOOL,FEMALE,20,25,55,20,0,0,17,11.8,29.4,41.2,11.8,5.9,96,2.1,29.2,62.5,6.3,57,17.5,57.9,24.6,0,84,16.6,46.4,33.3,1.2
KAMPALA,,MALE,15,6.7,46.7,40,6.7,0,19,0,26.3,42.1,31.6,0,108,20.4,35.2,42.6,1.9,70,22.9,44.3,30,2.9,111,19.8,59.5,20.7,0
KAMPALA,KOLOLO HIGH SCHOOL,FEMALE,53,54.7,35.8,9.4,0,0,66,40.9,51.5,7.6,0,0,170,48.2,36.5,14.1,1.2,51,21.6,41.2,35.3,2,41,17.3,65.9,14.6,0
KAMPALA,,MALE,113,53.1,37.2,6.2,2.7,0.9,114,33.3,39.5,22.8,4.4,0,362,53.6,33.1,11,2.2,124,45.2,35.5,17.7,1.6,93,33.4,51.6,6.5,0
KAMPALA,KOLOLO SECONDARY SCHOOL,FEMALE,96,38.5,43.8,14.6,3.1,0,75,21.3,41.3,33.3,2.7,1.3,170,51.8,37.6,9.4,1.2,89,34.8,43.8,16.9,4.5,76,54,31.6,6.6,0
KAMPALA,,MALE,176,34.7,41.5,18.8,5.1,0,149,26.2,50.3,18.8,4.7,0,296,51.4,39.9,8.8,0,117,56.4,26.5,13.7,3.4,110,40.9,48.2,4.5,0
KAMPALA,KYAMBOGO COLLEGE SCHOOL,FEMALE,122,1.6,18.9,46.7,29.5,3.3,104,0,28.8,40.4,25,5.8,254,10.2,54.3,33.9,1.6,126,11.1,30.2,48.4,10.3,145,9.9,57.2,30.3,1.4
KAMPALA,,MALE,279,3.2,22.2,36.2,31.9,6.5,296,2.4,24.7,37.2,29.1,6.8,558,17.6,42.3,31.2,9,282,12.1,36.5,40.4,11,217,18.6,54.8,21.7,4.1
KAMPALA,KYAMBOGO COLLEGE SCHOOL ANNEX,FEMALE,10,10,30,30,20,10,24,8.3,33.3,33.3,20.8,4.2,,0,0,0,0,,0,0,0,0,,0,0,0,0
KAMPALA,,MALE,53,15.1,18.9,37.7,24.5,3.8,77,1.3,29.9,45.5,20.8,2.6,,0,0,0,0,,0,0,0,0,,0,0,0,0
KAMPALA,"LAKESIDE COLLEGE,LUZIRA", ,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,1,100,0,0,0
KAMPALA,,FEMALE,141,5.7,27,48.2,18.4,0.7,139,4.3,34.5,46,15.1,0,234,35,39.3,25.6,0,112,17,42.9,36.6,3.6,106,29.2,61.3,7.5,1.9
KAMPALA,,MALE,143,3.5,20.3,47.6,28.7,0,145,4.8,29,42.1,22.8,1.4,292,25.3,47.3,23.3,4.1,137,19.7,54.7,23.4,2.2,105,22.5,46.7,24.8,1.9
KAMPALA,LOHANA HIGH SCHOOL,FEMALE,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,11,18.2,54.5,18.2,9.1,6,33.3,50,16.7,0
KAMPALA,,MALE,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,7,28.6,71.4,0,0,5,20,80,0,0
KAMPALA,"LONDON HIGH SCHOOL,KABOWA",FEMALE,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,18,27.8,61.1,11.1,0,20,50.3,35,10,0
KAMPALA,,MALE,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,23,52.2,34.8,13,0,35,37.1,62.9,0,0
KAMPALA,LUBIRI ALL SAINTS SECONDARY SCHOOL,FEMALE,,0,0,0,0,0,,0,0,0,0,0,28,71.4,21.4,7.1,0,11,36.4,63.6,0,0,,0,0,0,0
KAMPALA,,MALE,,0,0,0,0,0,,0,0,0,0,0,34,70.6,29.4,0,0,15,53.3,33.3,6.7,6.7,,0,0,0,0
KAMPALA,LUBIRI HIGH SCHOOL,FEMALE,131,9.2,39.7,35.9,14.5,0.8,136,10.3,36.8,42.6,9.6,0.7,252,21.4,50.8,25.4,2.4,105,2.9,32.4,41,23.8,73,19.2,49.3,30.1,1.4
KAMPALA,,MALE,163,7.4,40.5,39.3,11.7,1.2,145,4.8,39.3,45.5,10.3,0,258,15.5,50.4,25.6,8.5,77,3.9,29.9,50.6,15.6,81,12.5,61.7,23.5,1.2
KAMPALA,LUBIRI SECONDARY SCHOOL, ,1,0,0,0,0,100,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
KAMPALA,,FEMALE,228,1.3,10.1,43.4,37.7,7.5,207,1.4,9.7,46.4,36.2,6.3,454,5.7,43.2,41,10.1,250,4,29.6,52.8,13.6,217,7,51.6,37.8,3.2
KAMPALA,,MALE,270,1.5,9.3,33,44.4,11.9,292,1,14.7,33.6,41.8,8.9,544,8.8,29,48.9,13.2,249,3.2,27.7,48.6,20.5,282,9.9,46.8,36.2,7.1
KAMPALA,LUBIRI SECONDARY SCHOOL ANNEX,FEMALE,21,4.8,33.3,47.6,9.5,4.8,82,2.4,19.5,35.4,39,3.7,306,15.7,63.4,20.9,0,121,10.7,50.4,36.4,2.5,100,12.2,70,16,1
KAMPALA,,MALE,34,2.9,20.6,44.1,32.4,0,133,7.5,18.8,41.4,27.1,5.3,388,22.2,50.5,24.7,2.6,145,22.1,52.4,24.8,0.7,108,25.1,60.2,13.9,0
KAMPALA,LUGOGO CENTRE,FEMALE,58,62.1,25.9,12.1,0,0,70,60,28.6,8.6,2.9,0,44,90.9,9.1,0,0,19,52.6,36.8,10.5,0,10,60,40,0,0
KAMPALA,,MALE,73,57.5,34.2,5.5,2.7,0,72,59.7,29.2,9.7,1.4,0,34,70.6,29.4,0,0,16,75,12.5,12.5,0,12,59.8,16.7,0,0
KAMPALA,LUZIRA SECONDARY SCHOOL,FEMALE,60,11.7,43.3,35,10,0,53,1.9,26.4,58.5,11.3,1.9,104,23.1,55.8,19.2,1.9,62,4.8,37.1,43.5,14.5,72,15.3,47.2,30.6,6.9
KAMPALA,,MALE,92,9.8,37,38,12,3.3,67,1.5,40.3,44.8,9,4.5,180,17.8,42.2,31.1,8.9,92,7.6,32.6,47.8,12,71,11.3,52.1,36.6,0
KAMPALA,LUZIRA UPPER PRISON HALL,FEMALE,,0,0,0,0,0,5,0,40,40,20,0,,0,0,0,0,3,33.3,0,66.7,0,1,0,0,100,0
KAMPALA,,MALE,29,34.5,44.8,10.3,10.3,0,30,6.7,36.7,30,20,6.7,48,50,16.7,33.3,0,21,23.8,42.9,23.8,9.5,20,10,60,30,0
KAMPALA,"MACKAY MEMORIAL SCHOOL,NATETE",FEMALE,77,7.8,27.3,40.3,23.4,1.3,77,1.3,19.5,48.1,28.6,2.6,104,7.7,55.8,32.7,3.8,52,1.9,25,48.1,25,56,12.8,39.3,37.5,8.9
KAMPALA,,MALE,77,9.1,20.8,46.8,20.8,2.6,79,12.7,38,31.6,15.2,2.5,94,12.8,36.2,40.4,10.6,64,7.8,31.3,46.9,14.1,48,16.7,64.6,18.8,0
KAMPALA,MAKERERE COLLEGE SCHOOL,FEMALE,93,0,3.2,15.1,65.6,16.1,109,0,2.8,25.7,52.3,19.3,174,2.3,20.7,47.1,29.9,115,0,12.2,47,40.9,,0,0,0,0
KAMPALA,,MALE,163,0,8.6,25.2,41.7,24.5,171,1.8,14.6,28.1,41.5,14,312,1.9,18.6,52.6,26.9,146,2.7,18.5,34.9,43.8,,0,0,0,0
