District_Name,SCHOOL,Gender,2011 Total,%0-5 Points,%6-10 Points,%11-15 Points,%16-20 Points,%21-25 Points,2012 Total,%0-5 Points,%6-10 Points,%11-15 Points,%16-20 Points,%21-25 Points,2013 Total,%0-5 Points,%6-10 Points,%11-15 Points,%16-20 Points,2014 Total,%0-5 Points,%6-10 Points,%11-15 Points,%16-20 Points,2015 Total,%0-5 Points,%6-10 Points,%11-15 Points,%16-20 Points
NAKASEKE,,MALE,21,19,47.6,14.3,14.3,4.8,26,30.8,34.6,23.1,7.7,3.8,68,47.1,38.2,11.8,2.9,20,70,20,10,0,16,32.6,43.8,12.5,0
NAKASEKE,NAKASEKE INTERNATIONAL COLLEGE,FEMALE,68,13.2,50,23.5,11.8,1.5,80,17.5,42.5,28.8,8.8,2.5,110,45.5,36.4,14.5,3.6,63,27,54,14.3,4.8,70,33.4,55.7,8.6,0
NAKASEKE,,MALE,110,16.4,45.5,29.1,8.2,0.9,124,18.5,37.1,35.5,7.3,1.6,176,46.6,29.5,22.7,1.1,97,34,36.1,26.8,3.1,89,41.1,34.8,18,2.2
NAKASEKE,NAKASEKE SECONDARY SCHOOL,FEMALE,21,38.1,52.4,4.8,4.8,0,30,6.7,40,43.3,10,0,16,50,37.5,12.5,0,11,18.2,36.4,45.5,0,10,0,30,70,0
NAKASEKE,,MALE,31,29,54.8,16.1,0,0,12,33.3,41.7,16.7,8.3,0,22,36.4,36.4,27.3,0,11,27.3,27.3,36.4,9.1,13,15.4,23.1,53.8,7.7
NAKASEKE,TIMUNA SECONDARY SCHOOL,FEMALE,10,0,40,60,0,0,10,0,70,30,0,0,32,25,50,25,0,10,30,60,10,0,6,33.3,50,16.7,0
NAKASEKE,,MALE,9,11.1,44.4,22.2,22.2,0,18,16.7,55.6,22.2,5.6,0,40,45,40,15,0,17,47.1,35.3,17.6,0,12,42.7,25,25,0
NAKASEKE Total,,,497,19.7,44.5,24.9,9.9,1,537,20.1,44.7,27.6,6.5,1.1,1048,42.4,40.3,15.6,1.7,490,37.6,40.8,19.6,2,445,30.9,41.3,23.1,1.6
BUIKWE,"3R'S SECONDARY SCHOOL,LUGAZI",FEMALE,16,31.3,50,12.5,6.3,0,20,20,50,25,0,5,22,18.2,72.7,9.1,0,13,23.1,53.8,23.1,0,7,28.6,71.4,0,0
BUIKWE,,MALE,39,15.4,46.2,33.3,5.1,0,34,29.4,47.1,20.6,2.9,0,30,13.3,73.3,13.3,0,22,59.1,36.4,4.5,0,14,28.6,64.3,7.1,0
BUIKWE,"ALLIED TEACHERS' SS,NYENGA",FEMALE,33,48.5,39.4,6.1,6.1,0,21,33.3,42.9,9.5,9.5,4.8,54,70.4,25.9,3.7,0,14,64.3,28.6,7.1,0,7,15.1,57.1,14.3,0
